,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Era
10,Neil Sedaka,Collections,Breaking Up Is Hard to Do,7utoClKnLShFg6u6dZ20gp,0.742,0.674,8,-7.648,0,0.0354,0,0.0698,0.964,116.53,136267,4,50
11,Fats Domino,Greatest Hits: Walking To New Orleans,Blueberry Hill - Remastered 2002,2NkAoxQOr6MGdMB5JDTU81,0.479,0.506,11,-8.175,1,0.0272,2.69e-05,0.25,0.83,136.662,143440,3,50
12,The Platters,Remember When?,Smoke Gets In Your Eyes,2vSxjnyrWrtxyfzO47EX6q,0.203,0.295,3,-11.155,1,0.0323,2.05e-06,0.173,0.285,171.222,160933,3,50
13,Bobby Darin,The Ultimate Bobby Darin,Dream Lover,1KLpjQFgubHI3GkAICCNH3,0.526,0.774,5,-1.692,1,0.0459,0,0.437,0.715,131.715,150706,4,50
14,The Ronettes,Presenting the Fabulous Ronettes Featuring Veronica,Be My Baby,1WN4uNclrDuczTO3bCr8s1,0.512,0.771,4,-7.006,1,0.0402,0,0.0895,0.803,129.639,160907,4,50
15,Ricky Nelson,Greatest Love Songs,Hello Mary Lou (Goodbye Heart),0IMS1Za69G3KHMX4liB2Nr,0.559,0.78,9,-6.597,1,0.0328,6.89e-06,0.0793,0.964,98.661,139280,4,50
16,Doris Day,Superstar Files (75 Original Recordings),"Que Sera, Sera (Whatever Will Be, Will Be)",0CozDlSNCJObj8Jqeq71sh,0.417,0.36,9,-9.521,1,0.0375,0,0.286,0.699,175.482,129253,4,50
17,Dean Martin,Forever in Love,That's Amore,2viNxee3uNcVXrXvwAUVir,0.476,0.226,10,-10.546,1,0.0295,0,0.0944,0.5,79.243,186267,4,50
18,Bobby Vee,The Legendary Masters Series,Take Good Care Of My Baby - 1990 Remastered,1MR7XamWS0XH6vZxeeRdE0,0.491,0.431,1,-12.257,1,0.0609,0,0.124,0.661,82.445,150867,4,50
19,Doogal,Doogal,Sugar Sugar,19qzSe9XbN4BdJdvxBK5Xl,0.754,0.708,2,-7.92,1,0.0278,0,0.129,0.965,122.471,168345,4,50
20,Sam Cooke,The Man Who Invented Soul,(What A) Wonderful World,2g2GkH3vZHk4lWzBjgQ6nY,0.691,0.507,11,-10.23,1,0.0343,0,0.457,0.885,128.518,125440,4,50
21,Various Artists,Top 100 Hits - Rock And Roll,(‘Til) I Kissed You,1vVY5vd4kowd70TdTuEjfV,0.58,0.356,10,-12.894,0,0.0387,0,0.335,0.7,140.647,147587,4,50
22,The Crystals,Da Doo Ron Ron: The Very Best of The Crystals,Then He Kissed Me,7jeOETwLUP84mPQzxlD5nh,0.431,0.678,4,-7.945,1,0.0365,6.37e-06,0.199,0.633,135.919,158685,4,50
23,The Platters,The Platters Golden Hits,The Great Pretender,2FkCjtQ1lYsf71s2FAS8hE,0.425,0.401,7,-9.427,1,0.0315,3.44e-06,0.072,0.531,115.71,160667,3,50
24,Elvis Presley,Elvis' Golden Records,All Shook Up,5ueyLj6e6oVaTY0KQ6yLaA,0.624,0.468,10,-12.162,1,0.132,6.35e-06,0.144,0.952,74.139,117080,4,50
25,Ricky Nelson,The Best Of Rick Nelson (Vol. 2),Travelin' Man - Remastered,2jc4wyf3ys0zKCpxHRjEYx,0.741,0.363,2,-12.484,1,0.0335,0,0.117,0.859,123.263,142933,4,50
26,The Everly Brothers,"""All I Do Is Dream"" Everly Brothers",Bye Bye Love,1j7HyD3cxyYw9bMFevxWyR,0.558,0.556,9,-8.358,1,0.0564,0,0.0869,0.905,169.259,144300,4,50
27,The Chiffons,The Chiffons Absolutely The Best!,One Fine Day,6vcG9EgeqJUSmmF65lxUm6,0.251,0.868,1,-2.685,1,0.128,7.34e-06,0.814,0.599,177.13,128200,4,50
28,Jim Reeves,The Essential Jim Reeves,He'll Have to Go,7DH5dXVuQaqcKf9oTy9oUN,0.554,0.186,1,-15.846,1,0.0379,0.00144,0.11,0.2,81.181,138640,3,50
